Origin_Airport_Code,Destination_Airport_Code,Estimated_Duration_Hours,Estimated_Duration_Minutes
FRA,FCO,4,4
FCO,ALC,5,5
FRA,BRU,4,36
GVA,ZRH,1,45
FRA,GVA,3,51
BUD,GVA,4,50
BRU,BUD,1,47
FRA,CDG,2,54
LIS,ARN,2,4
VIE,CPH,3,43
BRU,VIE,1,17
IST,AGP,3,40
CDG,BCN,4,18
HEL,ZRH,1,8
CPH,MUC,3,12
IST,MAN,4,23
BUD,LHR,3,14
ZRH,ALC,2,5
ARN,VIE,2,47
ZRH,GVA,1,6
BCN,AMS,1,57
DUB,HEL,2,22
GVA,AGP,2,44
GVA,PRG,4,32
LHR,LIS,2,14
LGW,AMS,3,1
MXP,MAN,1,28
CPH,FCO,3,26
ALC,LGW,3,49
BUD,DUB,1,33
IST,WAW,3,28
MAN,PMI,2,35
DUS,ARN,3,26
PMI,MXP,3,55
DUB,PRG,5,4
VIE,GVA,4,44
FRA,BRU,3,25
CDG,ZRH,2,43
BUD,PMI,3,44
FCO,LHR,1,50
PMI,BCN,1,0
FRA,PRG,1,30
LIS,VIE,1,37
ATH,AMS,3,10
PRG,DUB,1,3
FCO,DUB,3,57
MAD,ALC,4,33
HEL,PRG,3,34
FCO,ARN,1,20
MXP,FRA,2,58
FRA,LHR,1,15
MXP,MAD,2,5
ZRH,BCN,3,1
LGW,AMS,1,33
LGW,BCN,1,0
AGP,FCO,3,39
HEL,ALC,4,12
ARN,AMS,1,31
DUS,DUB,3,40
DUS,BCN,2,2
FCO,MUC,1,6
WAW,MXP,1,48
ALC,GVA,2,14
DUS,BUD,1,49
OSL,PRG,2,2
AMS,CPH,1,52
MUC,BCN,2,56
FCO,CPH,2,13
PMI,IST,2,23
AGP,HEL,3,20
FCO,ALC,3,35
ALC,DUS,1,1
DUB,DUS,2,9
LGW,AGP,3,3
FRA,DUB,1,58
CDG,AGP,1,7
CDG,MUC,1,19
OSL,BUD,1,42
ZRH,AMS,1,33
BUD,IST,2,31
MXP,CDG,2,51
ATH,ARN,4,38
LHR,FCO,1,38
LGW,ZRH,1,32
MAD,PMI,1,48
FRA,ARN,3,11
FRA,LIS,3,43
BRU,ZRH,1,10
MAD,ALC,2,14
ARN,PMI,2,52
LHR,BCN,5,8
LGW,AGP,3,34
DUS,LIS,4,1
ALC,PRG,2,12
AMS,CDG,1,29
LHR,HEL,4,1
GVA,PRG,4,13
IST,FRA,1,18
OSL,AMS,2,43
ATH,BCN,3,11
ZRH,LGW,1,57
HEL,CDG,4,31
LHR,ARN,2,46
CDG,PRG,1,49
VIE,PMI,1,0
BUD,WAW,4,32
DUB,GVA,2,46
ZRH,ATH,2,42
FRA,FCO,2,37
GVA,BCN,3,0
LHR,WAW,3,15
FRA,BRU,3,11
MAN,CDG,2,48
ZRH,DUS,1,50
IST,DUS,4,3
ATH,ZRH,4,7
VIE,ATH,2,41
AGP,IST,2,38
PRG,FCO,4,6
ALC,DUB,1,23
AGP,ARN,3,39
WAW,FCO,2,40
AGP,MXP,1,35
ALC,ARN,1,27
VIE,BRU,2,48
IST,MAN,4,51
BRU,LIS,2,23
PMI,VIE,4,2
HEL,ATH,4,17
MXP,PRG,1,48
BCN,PRG,3,43
BCN,VIE,1,26
AMS,AGP,3,52
LGW,ALC,2,49
FRA,FCO,4,25
ZRH,AGP,3,35
OSL,WAW,4,13
HEL,BCN,2,53
ZRH,MUC,2,58
WAW,CDG,1,28
IST,LIS,4,44
LHR,IST,2,6
VIE,LHR,3,31
OSL,LIS,4,6
MAD,BCN,3,25
MUC,AGP,1,57
ALC,AMS,1,2
ATH,BRU,2,32
WAW,LIS,3,29
BRU,AGP,1,51
MUC,PRG,2,26
MAN,DUB,3,59
BCN,DUB,4,25
MXP,WAW,2,14
IST,PMI,2,58
PRG,CDG,2,32
ATH,AMS,2,1
FCO,LIS,3,13
MXP,BCN,1,48
MAN,BCN,2,54
LHR,WAW,5,1
ZRH,BUD,3,10
MXP,BUD,1,56
DUB,ATH,3,29
BCN,BRU,3,37
MAN,IST,4,2
AMS,ATH,2,20
DUS,AMS,4,54
DUB,CDG,2,4
FRA,MAD,2,48
BUD,LHR,2,35
IST,LHR,2,41
FCO,LIS,2,9
VIE,FRA,3,52
DUB,AGP,2,19
CPH,HEL,2,13
BRU,BUD,3,31
VIE,PRG,3,32
WAW,PRG,1,21
FRA,BUD,3,18
BRU,CPH,2,43
MUC,MAN,1,35
MUC,GVA,4,37
WAW,PRG,2,51
ARN,OSL,4,25
ARN,LIS,2,3
MXP,CDG,1,51
MAN,FRA,2,52
MAN,IST,1,19
CPH,BUD,1,0
ZRH,CDG,3,41
ZRH,AMS,1,30
FCO,DUS,1,30
AGP,PMI,2,20
HEL,BCN,3,43
AMS,ALC,5,1
PRG,LIS,1,32
LIS,AGP,4,23
DUB,IST,4,53
VIE,GVA,2,42
WAW,ATH,3,55
FCO,MAD,1,18
OSL,BUD,1,0
HEL,GVA,4,22
ATH,MAD,1,0
WAW,PMI,3,36
CDG,PMI,1,39
ARN,ALC,2,4
PRG,ATH,4,31
OSL,GVA,4,4
IST,AGP,4,3
LIS,PMI,3,41
LHR,BRU,2,3
WAW,BCN,2,0
MAD,PRG,1,4
LIS,DUS,2,52
CDG,FRA,2,51
BUD,LIS,1,37
ALC,BCN,1,57
VIE,AGP,3,29
PRG,GVA,2,23
DUB,AGP,2,27
VIE,OSL,1,41
FCO,WAW,4,48
MXP,BRU,1,40
HEL,AGP,1,15
DUS,GVA,2,17
DUS,ALC,3,16
WAW,CDG,1,14
MAN,CDG,2,13
VIE,CPH,4,45
AMS,CPH,1,32
FCO,MXP,2,12
ZRH,IST,4,11
PMI,FCO,4,34
HEL,FRA,2,15
LGW,CDG,2,5
CPH,MAD,3,12
DUB,PMI,3,55
CPH,BUD,1,0
LIS,FRA,4,4
LHR,AGP,2,31
ZRH,LHR,3,4
PMI,IST,1,38
ATH,BCN,3,39
BRU,CDG,4,21
WAW,IST,3,5
ZRH,LHR,2,35
FRA,GVA,1,7
LIS,HEL,4,23
MAD,AMS,4,12
CPH,PRG,4,44
GVA,IST,4,40
AMS,OSL,4,36
MUC,CDG,2,50
BCN,FRA,4,41
ATH,BUD,1,45
IST,LGW,2,19
LIS,GVA,3,22
CPH,DUB,3,53
CDG,BUD,1,36
MXP,MAD,1,26
DUB,MAN,3,44
ARN,FCO,3,30
LHR,ALC,4,44
CPH,DUS,2,39
VIE,ARN,1,11
LIS,CPH,2,40
MUC,MAD,2,58
HEL,MUC,4,25
LGW,AMS,1,57
FRA,DUS,1,0
VIE,BUD,3,37
BCN,LHR,2,53
BRU,ZRH,3,53
ATH,LGW,4,10
GVA,ALC,4,17
HEL,OSL,1,15
HEL,BRU,1,47
DUB,PRG,3,0
OSL,GVA,1,52
MAD,FCO,2,55
ZRH,ATH,2,8
LGW,BUD,3,31
FRA,WAW,4,38
VIE,MAD,2,32
CPH,LHR,3,48
AMS,MAN,5,6
PRG,FCO,3,54
IST,BUD,2,38
MAN,AGP,4,1
CDG,MXP,1,45
FRA,MXP,2,45
LGW,LIS,1,26
PMI,DUS,1,1
DUB,BUD,1,18
BUD,GVA,1,58
ZRH,FRA,3,15
WAW,HEL,3,47
MUC,AGP,3,22
PMI,AMS,4,53
BRU,IST,2,43
MUC,FRA,1,14
LIS,WAW,1,20
BCN,ATH,3,54
VIE,BCN,4,1
VIE,HEL,4,5
LHR,DUS,1,27
CDG,MXP,3,48
CPH,OSL,2,36
AGP,BRU,2,12
ARN,PRG,4,45
ALC,DUS,3,48
ZRH,WAW,4,41
VIE,LGW,3,40
CPH,VIE,1,57
MAN,PRG,1,35
CDG,VIE,3,20
MXP,PMI,2,46
VIE,IST,2,28
ATH,WAW,3,5
FRA,MAD,2,14
VIE,BRU,1,35
MAD,DUB,2,56
ALC,VIE,5,9
DUS,MXP,3,22
LHR,BUD,1,38
AMS,MAN,2,52
LIS,GVA,1,0
MAN,MAD,2,58
ALC,FRA,3,25
FRA,PMI,2,32
FCO,MUC,4,37
LHR,CPH,4,37
IST,AMS,1,34
CPH,PRG,4,40
BCN,ZRH,3,22
DUB,LHR,4,47
LIS,MAN,4,25
AGP,LHR,2,2
MAD,OSL,4,13
ZRH,GVA,1,30
AGP,IST,3,24
IST,FRA,1,2
CDG,BUD,1,14
CDG,MAN,4,29
DUS,IST,3,25
FRA,DUB,4,16
LHR,CDG,4,56
WAW,ALC,2,31
FRA,PRG,2,14
CDG,PRG,4,1
PRG,BUD,3,18
MAD,FCO,3,47
PRG,MAN,1,55
CDG,ARN,4,29
OSL,MAN,1,27
FRA,GVA,4,27
OSL,BUD,2,55
HEL,FCO,2,54
BUD,ARN,3,56
PRG,HEL,1,12
VIE,FCO,2,54
BUD,LHR,2,34
PRG,MAN,4,34
LIS,AGP,2,2
MAN,BRU,4,46
BCN,ATH,4,48
OSL,PMI,4,24
MXP,DUB,1,54
FCO,DUS,3,38
PMI,MAN,2,20
CDG,WAW,2,49
AGP,BUD,4,55
OSL,VIE,2,4
DUS,FRA,2,0
GVA,FRA,4,7
ATH,ZRH,3,31
HEL,CPH,1,43
MXP,PRG,1,32
PRG,AMS,2,46
FRA,BUD,4,1
DUB,MXP,3,30
MAN,CPH,2,16
BCN,DUB,3,29
LGW,IST,4,59
ARN,MXP,2,45
MXP,AMS,2,35
VIE,BCN,1,16
ALC,LGW,4,59
BUD,LGW,3,40
VIE,AMS,2,29
BCN,IST,3,42
MAN,AGP,2,13
MXP,PMI,4,44
ATH,MAD,1,13
CDG,LHR,2,10
DUS,ZRH,2,46
MXP,MAD,4,9
ZRH,WAW,1,0
AMS,MAD,1,33
CDG,VIE,4,28
OSL,IST,4,0
MAD,ATH,3,53
DUB,ALC,4,56
VIE,MUC,1,16
HEL,BRU,2,14
OSL,MXP,1,54
PRG,BUD,4,17
ALC,WAW,3,52
MAN,AGP,1,5
VIE,MUC,2,17
GVA,WAW,4,59
OSL,LHR,4,6
BRU,ZRH,3,22
ATH,BUD,5,11
CPH,VIE,4,27
LIS,OSL,4,11
MUC,FRA,2,3
PMI,BUD,5,1
LHR,WAW,4,51
MAN,CDG,1,48
MAD,MAN,1,58
VIE,MUC,3,57
LIS,LHR,2,1
MAD,ARN,3,53
VIE,BCN,1,2
HEL,MAD,4,35
FRA,VIE,2,17
OSL,LGW,4,25
MAD,ZRH,3,56
DUB,BUD,1,28
MAD,BCN,1,32
LIS,ZRH,3,11
AGP,MAD,4,3
HEL,AMS,4,37
MUC,MAD,4,1
ATH,HEL,4,53
CPH,PMI,2,45
IST,AMS,1,46
DUS,OSL,2,42
HEL,ZRH,3,7
ALC,PMI,2,22
MUC,MXP,3,11
PMI,ARN,2,8
VIE,ARN,3,47
CDG,HEL,1,42
LHR,HEL,1,54
PRG,WAW,3,59
VIE,OSL,2,35
MAD,ALC,1,44
CDG,AGP,1,33
AMS,PRG,3,14
ARN,PMI,3,43
MUC,VIE,2,26
LHR,AGP,1,0
CPH,AGP,2,48
DUS,BUD,1,52
PMI,VIE,1,59
MAN,OSL,4,12
VIE,LGW,5,8
OSL,IST,3,51
PRG,MXP,2,35
MUC,LIS,2,40
AGP,WAW,2,42
ALC,LIS,4,36
MAD,MXP,4,27
MXP,BCN,3,59
WAW,AGP,2,44
BRU,CPH,2,36
OSL,MAD,1,0
VIE,BUD,2,57
MXP,LHR,3,42
MXP,ZRH,3,9
MXP,ALC,1,52
ALC,GVA,2,5
PRG,PMI,3,4
OSL,AMS,3,46
HEL,MAD,1,8
GVA,ATH,3,10
DUB,ATH,2,16
BUD,BRU,3,28
MXP,ARN,4,27
ATH,ALC,2,4
ALC,BUD,2,53
HEL,CPH,1,16
DUS,PRG,2,35
OSL,MXP,1,26
ALC,GVA,2,48
LGW,WAW,3,47
FRA,ATH,4,25
IST,LIS,3,33
BCN,PMI,2,52
HEL,ZRH,1,45
CDG,DUB,1,34
OSL,GVA,2,15
WAW,FCO,1,6
WAW,AMS,3,19
CDG,VIE,1,55
HEL,MAN,1,45
LHR,FRA,2,58
PMI,VIE,2,19
BRU,PRG,2,9
IST,MXP,2,54
MXP,GVA,3,43
BRU,DUB,1,44
IST,MUC,3,49
PMI,DUS,3,53
LIS,MUC,1,12
CPH,LGW,3,34
HEL,DUB,4,20
ATH,HEL,4,46
GVA,BRU,2,28
BUD,FRA,2,50
LIS,CDG,3,28
DUB,MUC,1,29
MAN,AGP,2,4
CPH,MXP,1,37
MXP,MAD,2,30
AMS,LIS,1,18
CDG,PMI,4,27
MUC,CPH,2,55
ALC,LGW,1,59
LHR,FRA,4,56
OSL,MXP,1,19
GVA,PRG,2,53
MAN,WAW,3,23
CDG,PMI,3,3
DUB,BRU,4,27
HEL,DUB,3,18
FCO,MAD,1,40
VIE,BUD,4,29
VIE,BUD,3,54
LHR,PRG,1,0
LIS,MXP,1,40
DUB,GVA,2,10
LGW,ALC,3,21
PMI,ALC,2,31
IST,OSL,3,49
FCO,HEL,2,6
CDG,WAW,4,27
MAN,ALC,3,12
ZRH,HEL,3,57
BUD,FCO,2,38
PRG,AMS,2,1
BRU,DUB,1,0
DUB,IST,3,15
MAN,AGP,1,44
HEL,CPH,3,11
IST,CDG,5,11
ZRH,AMS,4,4
VIE,ATH,4,1
BRU,MUC,1,39
AMS,HEL,2,51
IST,CPH,3,50
BCN,DUB,2,47
VIE,MXP,4,35
ALC,AMS,1,0
MUC,GVA,2,34
ARN,DUS,2,54
MAN,GVA,1,20
DUS,WAW,4,52
IST,LHR,4,5
WAW,FRA,1,58
ARN,CDG,5,6
VIE,ZRH,3,1
OSL,LGW,3,40
LHR,BRU,1,25
LIS,WAW,2,50
VIE,BCN,1,49
WAW,DUS,4,34
GVA,FCO,4,12
DUB,OSL,1,0
MAD,PRG,2,30
OSL,HEL,3,36
OSL,ATH,4,20
LGW,MXP,4,36
PMI,LHR,2,25
PRG,BRU,2,1
WAW,BCN,2,51
ARN,LIS,1,0
OSL,LHR,3,7
LHR,HEL,4,30
CDG,LHR,4,17
AMS,DUB,2,10
AGP,LHR,1,23
AMS,LHR,1,57
ATH,MXP,1,20
VIE,MUC,4,42
BCN,PMI,2,34
BCN,CPH,2,50
WAW,OSL,2,0
MUC,AGP,2,54
LHR,CDG,2,1
ZRH,ATH,1,24
LHR,MXP,5,4
FRA,HEL,2,17
LIS,FCO,1,57
MAD,FCO,2,26
CPH,DUS,3,25
FRA,LIS,1,40
FRA,MUC,2,22
HEL,MUC,2,21
GVA,LGW,2,15
ATH,BCN,2,30
VIE,MUC,3,43
CPH,FRA,3,36
CPH,MXP,1,34
MAN,BRU,2,33
VIE,WAW,2,43
BUD,AMS,1,0
BCN,MAN,2,22
MXP,GVA,1,52
DUB,BRU,4,6
GVA,ZRH,3,27
AMS,ZRH,2,32
ATH,HEL,4,22
AMS,DUB,3,21
IST,LGW,3,48
BRU,WAW,2,28
BCN,HEL,2,4
GVA,PRG,3,25
ATH,LGW,4,22
VIE,DUB,3,50
MAN,LGW,3,49
ZRH,MAN,1,16
GVA,CPH,1,46
BUD,VIE,4,28
IST,CPH,1,49
BCN,MUC,2,31
IST,ARN,5,1
BRU,DUB,2,55
CPH,MXP,1,16
BRU,CDG,4,14
PMI,AMS,2,42
LGW,MUC,4,52
PMI,FCO,2,26
VIE,CDG,2,13
MAD,MAN,3,36
FRA,DUB,2,39
LHR,FCO,4,19
LHR,MAN,3,53
ZRH,BRU,2,47
DUB,IST,2,51
DUS,MAN,4,29
DUS,HEL,2,35
MAD,PMI,1,11
MUC,AMS,3,2
MAN,ARN,1,39
BRU,DUS,2,49
DUB,LIS,1,32
HEL,AGP,4,14
MXP,BCN,2,2
ALC,BRU,1,32
DUB,PMI,3,52
BRU,CDG,2,39
HEL,LHR,1,20
GVA,IST,1,10
CDG,GVA,1,9
ZRH,DUB,3,55
LGW,WAW,2,26
MXP,GVA,2,23
BUD,BCN,3,41
PRG,FRA,1,3
LIS,BUD,3,25
PRG,OSL,1,49
OSL,MAN,1,0
DUS,VIE,3,12
BCN,PMI,3,4
PMI,GVA,2,10
MAN,ATH,3,34
BUD,AMS,4,10
LIS,CPH,3,27
ATH,ALC,3,50
IST,DUS,3,54
DUS,LGW,1,12
MAD,OSL,3,42
AMS,FRA,2,3
DUB,VIE,2,1
BRU,DUS,4,27
FRA,HEL,2,34
DUS,ATH,2,58
HEL,WAW,2,5
MAN,DUB,1,44
ARN,AGP,3,46
MXP,MUC,3,14
PRG,ZRH,4,27
VIE,BRU,4,22
AMS,LHR,1,23
LHR,AMS,3,7
MAN,CPH,3,22
ARN,ATH,1,17
VIE,IST,2,31
PMI,ARN,1,37
OSL,AGP,1,43
PRG,OSL,1,46
LGW,BUD,1,42
VIE,OSL,1,50
CPH,CDG,5,0
BCN,CDG,3,45
MUC,MXP,4,0
BRU,LHR,3,30
ATH,WAW,4,19
BUD,AMS,1,20
DUB,PRG,4,24
PMI,LGW,1,0
BUD,MAN,3,36
DUS,LHR,3,27
DUS,MUC,2,46
BCN,LIS,1,10
MAD,FCO,4,35
HEL,LGW,4,4
DUS,FRA,4,16
MUC,BRU,3,11
MUC,CPH,5,6
ATH,AGP,1,44
AMS,ALC,2,13
ATH,OSL,3,6
LGW,DUS,3,45
CPH,GVA,3,55
AGP,CDG,2,52
ALC,DUB,4,31
ALC,PMI,3,50
FCO,DUB,1,34
MUC,GVA,4,44
ARN,DUB,3,37
FCO,LHR,4,17
HEL,FCO,2,0
OSL,CDG,3,15
DUB,HEL,1,0
FCO,DUB,2,34
CPH,LGW,4,48
FCO,BUD,2,42
HEL,GVA,3,21
BUD,LGW,4,24
ARN,DUB,3,24
BUD,ATH,2,25
GVA,AMS,3,38
ATH,MUC,3,18
DUS,ALC,4,41
ALC,MAN,4,8
WAW,DUB,4,26
VIE,PMI,3,40
ARN,PRG,2,8
BUD,FRA,2,46
PMI,CDG,1,31
MAD,FCO,2,36
LIS,LGW,2,21
HEL,MAD,2,32
MAD,BCN,1,58
FCO,IST,2,11
BUD,ARN,3,33
VIE,AMS,4,9
DUB,GVA,2,42
FRA,AGP,1,21
PRG,CDG,5,2
AMS,DUB,4,48
PMI,GVA,1,0
DUS,BCN,1,37
WAW,VIE,3,20
WAW,AMS,2,24
IST,WAW,3,47
HEL,PMI,2,29
VIE,LHR,3,21
MAD,LHR,3,10
IST,PMI,1,0
LGW,GVA,4,2
LHR,LIS,3,18
ZRH,CPH,2,5
FCO,MAD,1,24
FCO,LHR,2,30
MAD,CDG,4,18
DUB,WAW,2,34
HEL,AGP,4,45
WAW,GVA,3,23
PRG,LGW,3,49
HEL,MUC,4,48
LGW,ARN,4,34
ZRH,FRA,1,16
MAN,MAD,3,51
LHR,DUB,3,22
DUB,FRA,4,0
MAN,LHR,3,19
ARN,FRA,2,30
MAD,ZRH,3,14
ATH,IST,1,47
MXP,MAN,3,28
BRU,ZRH,4,21
ATH,CPH,1,22
ARN,PRG,3,4
MUC,PRG,2,54
MXP,ALC,2,50
ATH,BUD,2,37
BUD,GVA,3,21
ATH,MAN,2,26
MUC,IST,1,10
VIE,ZRH,4,10
ALC,VIE,3,5
WAW,VIE,1,0
BUD,FCO,1,26
VIE,LHR,1,52
MXP,OSL,2,46
IST,BRU,4,41
MUC,BUD,1,54
HEL,FCO,3,36
CDG,HEL,1,24
AMS,CDG,2,20
DUS,VIE,4,23
BCN,MUC,2,20
MXP,BCN,1,50
LHR,VIE,2,38
MAD,FCO,3,10
FRA,AMS,3,29
GVA,MXP,3,50
CDG,PMI,4,45
IST,FCO,4,37
CDG,VIE,4,11
MAD,MXP,5,7
FRA,MAD,4,32
BCN,LHR,2,57
DUS,OSL,3,40
LIS,ARN,2,26
GVA,IST,4,9
VIE,ZRH,2,54
IST,LIS,5,1
CPH,PMI,3,14
DUB,ZRH,2,56
MAN,MAD,1,24
AMS,GVA,2,53
MUC,GVA,1,20
MXP,LGW,1,6
ATH,FCO,3,42
PRG,ATH,3,59
VIE,IST,4,55
LIS,ZRH,2,39
BCN,LGW,2,42
ATH,LGW,1,49
ATH,ARN,2,18
MXP,FRA,4,5
BCN,GVA,2,14
AMS,LIS,2,20
ALC,MAN,3,26
LGW,FRA,1,28
PMI,MAD,3,13
AMS,ZRH,2,32
BUD,MAN,2,27
ARN,ATH,3,58
BCN,BUD,4,59
MUC,LGW,1,19
LGW,ATH,3,9
MAN,AGP,1,50
PRG,ATH,1,15
MUC,BUD,2,12
AMS,BRU,1,51
MAN,GVA,4,14
MUC,OSL,3,43
LHR,IST,3,52
OSL,ZRH,1,51
MXP,AGP,2,12
DUB,PMI,3,33
CDG,ZRH,2,51
BRU,DUS,3,28
IST,BRU,3,57
MAD,CPH,1,52
ARN,VIE,3,53
ZRH,ALC,4,38
FRA,BCN,1,34
IST,ALC,3,34
FRA,WAW,2,10
IST,HEL,2,53
DUS,BRU,3,33
GVA,ALC,1,30
BCN,AMS,3,54
BCN,HEL,3,38
BRU,BUD,4,40
HEL,BRU,2,54
BRU,PRG,3,39
LIS,MAN,1,14
LGW,GVA,3,37
LIS,OSL,2,23
FCO,CDG,3,51
AGP,AMS,3,28
BRU,ATH,2,7
DUS,ARN,4,42
BUD,DUB,4,32
MAN,WAW,3,58
MUC,FRA,2,14
BRU,MAD,1,3
ARN,MXP,1,51
MXP,ATH,2,4
AMS,BCN,3,9
LGW,BRU,3,21
GVA,LIS,5,11
GVA,CDG,2,38
OSL,ATH,1,30
AGP,BRU,1,11
LHR,MAD,2,40
BRU,PMI,4,37
BCN,FRA,2,49
MAN,PRG,2,38
FRA,MAN,1,11
LIS,ATH,5,5
DUS,OSL,3,14
DUB,WAW,4,27
DUB,IST,4,58
LGW,WAW,2,21
LGW,BCN,4,49
PMI,PRG,2,40
VIE,PRG,3,43
BUD,IST,2,19
DUB,CDG,3,35
BCN,LGW,1,43
AMS,CPH,1,10
VIE,BCN,2,54
ARN,LGW,2,52
ATH,GVA,1,5
VIE,BRU,1,7
MXP,MUC,4,15
FRA,CDG,3,8
CDG,MXP,2,52
ARN,IST,4,57
FRA,IST,1,19
CPH,ZRH,4,52
PRG,BUD,4,13
AGP,MAN,4,55
FCO,BRU,2,39
ARN,WAW,3,29
BRU,LHR,4,28
IST,GVA,2,41
BCN,LGW,1,47
LGW,OSL,1,17
IST,HEL,4,27
LHR,FRA,4,2
ALC,MUC,2,47
PRG,LIS,2,0
MAN,FCO,4,4
MXP,FRA,3,19
IST,VIE,1,42
PRG,FRA,1,35
BUD,ZRH,3,38
ZRH,MUC,1,36
ATH,LHR,2,24
BCN,LIS,4,15
LIS,FCO,4,27
DUB,GVA,2,39
BCN,CPH,3,8
WAW,MAN,4,16
CPH,PMI,1,15
MXP,FCO,2,5
OSL,DUS,3,2
MAN,FRA,1,0
CDG,FRA,4,48
BCN,AMS,3,30
WAW,BRU,3,47
AGP,PRG,1,52
PMI,VIE,2,11
HEL,BCN,3,4
LHR,CDG,1,33
ATH,CPH,2,51
ARN,IST,2,45
DUB,MUC,3,5
ARN,MUC,3,20
GVA,PMI,3,18
BCN,MUC,4,6
AMS,HEL,1,35
BCN,ALC,1,36
GVA,FCO,3,38
HEL,ATH,3,37
LGW,DUS,3,30
FRA,IST,4,2
ATH,AGP,4,3
ALC,WAW,3,52
LIS,MAN,3,36
